Date,EPI
2020-01-21,52.93816870620332
2020-01-22,52.65317589814856
2020-01-23,52.38863685542756
2020-01-24,52.14455157804035
2020-01-25,51.9209200659869
2020-01-26,51.7177423192672
2020-01-27,51.535018337881304
2020-01-28,51.372748121829154
2020-01-29,51.23093167111078
2020-01-30,51.10956898572617
2020-01-31,51.008660065675336
2020-02-01,51.09135301847302
2020-02-02,50.86820352157497
2020-02-03,50.828655897525444
2020-02-04,50.809562038809695
2020-02-05,50.8109219454277
2020-02-06,50.83273561737948
2020-02-07,50.87500305466503
2020-02-08,50.937724257284344
2020-02-09,51.02089922523743
2020-02-10,51.1245279585243
2020-02-11,51.248610457144935
2020-02-12,51.39314672109932
2020-02-13,51.55813675038748
2020-02-14,51.74358054500942
2020-02-15,51.949478104965124
2020-02-16,52.17482037141401
2020-02-17,52.41355299131254
2020-02-18,52.66466690582011
2020-02-19,52.92816211493674
2020-02-20,53.204038618662416
2020-02-21,53.49229641699713
2020-02-22,53.7929355099409
2020-02-23,54.105955897493715
2020-02-24,54.43135757965558
2020-02-25,54.76914055642651
2020-02-26,55.11930482780647
2020-02-27,55.481850393795476
2020-02-28,55.85677725439354
2020-02-29,56.24408540960064
2020-03-01,56.97053588787947
2020-03-02,57.05584560384201
2020-03-03,57.48029764287628
2020-03-04,57.91713097651959
2020-03-05,58.36634560477194
2020-03-06,58.82794152763336
2020-03-07,59.301918745103805
2020-03-08,59.788277257183296
2020-03-09,60.28701706387185
2020-03-10,60.79813816516945
2020-03-11,61.32164056107611
2020-03-12,61.857524251591805
2020-03-13,62.405789236716544
2020-03-14,62.966435516450346
2020-03-15,63.53946309079319
2020-03-16,64.1248719597451
2020-03-17,64.72265162774322
2020-03-18,65.33273912141064
2020-03-19,65.95512394518457
2020-03-20,66.58980609906502
2020-03-21,67.23678558305191
2020-03-22,67.89606239714533
2020-03-23,68.56763654134522
2020-03-24,69.25150801565164
2020-03-25,69.94767682006452
2020-03-26,70.65614295458393
2020-03-27,71.37690641920979
2020-03-28,72.10996721394217
2020-03-29,72.85532533878103
2020-03-30,73.61298079372641
2020-03-31,74.38293357877825
2020-04-01,74.0994170865571
2020-04-02,75.95973113920145
2020-04-03,76.76657591457278
2020-04-04,77.58571802005063
2020-04-05,78.41715745563494
2020-04-06,79.26089422132577
2020-04-07,80.11692831712307
2020-04-08,80.98525974302689
2020-04-09,81.86588849903718
2020-04-10,82.75881458515398
2020-04-11,83.66403800137726
2020-04-12,84.58155874770705
2020-04-13,85.51137682414333
2020-04-14,86.4534922306861
2020-04-15,87.40790496733537
2020-04-16,88.37461503409112
2020-04-17,89.31053201750444
2020-04-18,90.17256550412638
2020-04-19,90.96071549395695
2020-04-20,91.67498198699616
2020-04-21,92.31536498324398
2020-04-22,92.88186448270044
2020-04-23,93.37448048536552
2020-04-24,93.79321299123924
2020-04-25,94.13806200032158
2020-04-26,94.40902751261254
2020-04-27,94.60610952811214
2020-04-28,94.72930804682036
2020-04-29,94.77862306873722
2020-04-30,94.7540545938627
2020-05-01,96.53212549218473
2020-05-02,94.48326715373955
2020-05-03,94.2370481884909
2020-05-04,93.91694572645089
2020-05-05,93.52295976761951
2020-05-06,93.05509031199675
2020-05-07,92.51333735958264
2020-05-08,91.89770091037713
2020-05-09,91.20818096438026
2020-05-10,90.44477752159202
2020-05-11,89.6074905820124
2020-05-12,88.69632014564142
2020-05-13,87.71126621247906
2020-05-14,86.65232878252532
2020-05-15,85.5195078557802
2020-05-16,84.31280343224374
2020-05-17,83.05039087081263
2020-05-18,81.8413223248672
2020-05-19,80.70377315330424
2020-05-20,79.63774335612374
2020-05-21,78.64323293332565
2020-05-22,77.72024188491
2020-05-23,76.8687702108768
2020-05-24,76.08881791122604
2020-05-25,75.38038498595773
2020-05-26,74.74347143507185
2020-05-27,74.17807725856842
2020-05-28,73.68420245644744
2020-05-29,73.2618470287089
2020-05-30,72.91101097535277
2020-05-31,72.63169429637911
2020-06-01,70.29637809865955
2020-06-02,72.2876190615791
2020-06-03,72.22286050575275
2020-06-04,72.22962132430885
2020-06-05,72.30790151724739
2020-06-06,72.45770108456836
2020-06-07,72.6790200262718
2020-06-08,72.97185834235765
2020-06-09,73.33621603282597
2020-06-10,73.77209309767672
2020-06-11,74.27948953690989
2020-06-12,74.85840535052552
2020-06-13,75.5088405385236
2020-06-14,76.23079510090412
2020-06-15,77.02426903766707
2020-06-16,77.88926234881247
2020-06-17,78.76986497198082
2020-06-18,79.61016684481264
2020-06-19,80.41016796730793
2020-06-20,81.1698683394667
2020-06-21,81.88926796128895
2020-06-22,82.56836683277469
2020-06-23,83.20716495392385
2020-06-24,83.80566232473653
2020-06-25,84.36385894521266
2020-06-26,84.88175481535227
2020-06-27,85.35934993515534
2020-06-28,85.79664430462189
2020-06-29,86.19363792375192
2020-06-30,86.5503307925454
2020-07-01,88.56153654676217
2020-07-02,87.14281427912283
2020-07-03,87.37860489690674
2020-07-04,87.57409476435414
2020-07-05,87.729283881465
2020-07-06,87.84417224823932
2020-07-07,87.91875986467713
2020-07-08,87.95304673077841
2020-07-09,87.94703284654315
2020-07-10,87.9007182119714
2020-07-11,87.81410282706307
2020-07-12,87.68718669181825
2020-07-13,87.51996980623687
2020-07-14,87.312452170319
2020-07-15,87.06463378406458
2020-07-16,86.77651464747365
2020-07-17,86.4553523405062
2020-07-18,86.14469234292226
2020-07-19,85.85179223468184
2020-07-20,85.57665201578496
2020-07-21,85.3192716862316
2020-07-22,85.07965124602177
2020-07-23,84.85779069515547
2020-07-24,84.6536900336327
2020-07-25,84.46734926145346
2020-07-26,84.29876837861772
2020-07-27,84.14794738512555
2020-07-28,84.01488628097687
2020-07-29,83.89958506617174
2020-07-30,83.80204374071013
2020-07-31,83.72226230459206
2020-08-01,82.56462514747724
2020-08-02,83.61597910038648
2020-08-03,83.58947733229898
2020-08-04,83.580735453555
2020-08-05,83.58975346415457
2020-08-06,83.61653136409767
2020-08-07,83.66106915338426
2020-08-08,83.7233668320144
2020-08-09,83.80342439998807
2020-08-10,83.90124185730527
2020-08-11,84.016819203966
2020-08-12,84.15015643997025
2020-08-13,84.30125356531804
2020-08-14,84.47011058000933
2020-08-15,84.65672748404417
2020-08-16,84.86110427742253
2020-08-17,85.07904615040894
2020-08-18,85.28538424459062
2020-08-19,85.47592375023208
2020-08-20,85.65066466733334
2020-08-21,85.8096069958944
2020-08-22,85.95275073591522
2020-08-23,86.08009588739587
2020-08-24,86.19164245033627
2020-08-25,86.28739042473649
2020-08-26,86.36733981059649
2020-08-27,86.43149060791626
2020-08-28,86.47984281669584
2020-08-29,86.5123964369352
2020-08-30,86.52915146863435
2020-08-31,86.5301079117933
2020-09-01,87.30019350779743
2020-09-02,86.48462503249053
2020-09-03,86.43818571002886
2020-09-04,86.37594779902696
2020-09-05,86.29791129948484
2020-09-06,86.20407621140254
2020-09-07,86.09444253477999
2020-09-08,85.96901026961726
2020-09-09,85.82777941591429
2020-09-10,85.67074997367114
2020-09-11,85.49792194288776
2020-09-12,85.30929532356417
2020-09-13,85.10487011570036
2020-09-14,84.88464631929637
2020-09-15,84.64862393435214
2020-09-16,84.39680296086772
2020-09-17,84.1469660807122
2020-09-18,83.91689597575468
2020-09-19,83.7065926459952
2020-09-20,83.51605609143373
2020-09-21,83.34528631207029
2020-09-22,83.19428330790485
2020-09-23,83.06304707893746
2020-09-24,82.95157762516807
2020-09-25,82.85987494659669
2020-09-26,82.78793904322333
2020-09-27,82.735769915048
2020-09-28,82.70336756207068
2020-09-29,82.69073198429139
2020-09-30,82.6978631817101
2020-10-01,82.09443186925375
2020-10-02,82.7714259021416
2020-10-03,82.83785742515437
2020-10-04,82.92405572336519
2020-10-05,83.03002079677398
2020-10-06,83.15575264538083
2020-10-07,83.30125126918568
2020-10-08,83.46651666818856
2020-10-09,83.65154884238945
2020-10-10,83.85634779178835
2020-10-11,84.08091351638528
2020-10-12,84.32524601618024
2020-10-13,84.5893452911732
2020-10-14,84.8732113413642
2020-10-15,85.1768441667532
2020-10-16,85.50024376734022
2020-10-17,85.83940217895353
2020-10-18,86.17027161656276
2020-10-19,86.48884411599617
2020-10-20,86.7951196772538
2020-10-21,87.0890983003356
2020-10-22,87.37077998524157
2020-10-23,87.64016473197178
2020-10-24,87.89725254052615
2020-10-25,88.1420434109047
2020-10-26,88.37453734310746
2020-10-27,88.59473433713441
2020-10-28,88.80263439298554
2020-10-29,88.99823751066087
2020-10-30,89.18154369016037
2020-10-31,89.35255293148408
2020-11-01,89.96858209347192
2020-11-02,89.65768059960405
2020-11-03,89.79179902640033
2020-11-04,89.9136205150208
2020-11-05,90.02314506546544
2020-11-06,90.12037267773428
2020-11-07,90.20530335182733
2020-11-08,90.27793708774455
2020-11-09,90.33827388548596
